Sample ID,Sample Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Metadata Submission,Comments
MITU01,brain hemisphere,human,NCBI:txid9606,,not reported,,,,,histology imaging,light sheet microscopy,brain,brain section set,120,Massachusetts Institute of Technology,Kwanghun Chung,1U01MH117072-01,chung_lsfm,DANDI,https://gui.dandiarchive.org/#/dandiset/000108,2022Q2,
SW220310-01 10x,brain section set,mouse,NCBI:txid10090,,not reported,,,,wt/wt,connectivity,Confocal microscopy,,brain section set,1,University of California Los Angeles,Hong-wei Dong,1U01MH114829-01,dong_confocal,BIL,,2022Q2,
hba_pool90_h1930002_CBL,cell nucleus,human,NCBI:txid9606,H19.30.002,brain section set,,29,male,,epigenomics,mC-seq2,CBL,cell nucleus,8685,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool91_h1930004_S1C,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,S1C,cell nucleus,8643,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool92_h1930004_A1C,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,A1C,cell nucleus,8721,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool93_h1930004_M1C,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,M1C,cell nucleus,8670,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool94_h1930004_V2,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,V2,cell nucleus,8454,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool95_h1930004_LEC,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,LEC,cell nucleus,8757,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool96_h1930004_MTG,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,MTG,cell nucleus,8946,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool97_h1930004_A25,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,A25,cell nucleus,8823,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool98_h1930004_IDG,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,IDG,cell nucleus,8838,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool99_h1930004_A5-A7,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,A5-A7,cell nucleus,8853,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool103_h1930004_FI,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,FI,cell nucleus,8547,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool104_h1930004_A46,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,A46,cell nucleus,7710,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool105_h1930004_Ig,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,Idg,cell nucleus,8823,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
hba_pool106_h1930004_A38,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,42,male,,epigenomics,mC-seq2,A38,cell nucleus,8907,Salk Institute for Biological Studies,Joseph R. Ecker,1U01MH121282-01,ecker_hu_sn_mCseq,NeMO,,2022Q2,
H1930004_CX54_V2_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,V2,cell nucleus,4931,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX49_MTG_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,MTG,cell nucleus,6659,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX52_A5-A7_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,A5-A7,cell nucleus,6525,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX49_ITG_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,ITG,cell nucleus,8219,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930002_CX45_A38_002_ATAC_2,cell nucleus,human,NCBI:txid9606,H19.30.002,brain section set,,42,male,,epigenomics,ATAC-seq,A38,cell nucleus,5981,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX54_A19_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,A19,cell nucleus,11136,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX47_LEC_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,LEC,cell nucleus,10300,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930002_CX49_ITG_002_ATAC_2,cell nucleus,human,NCBI:txid9606,H19.30.002,brain section set,,42,male,,epigenomics,ATAC-seq,ITG,cell nucleus,7235,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX46_A25_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,A25,cell nucleus,5568,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX47_Idg_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,Idg,cell nucleus,4699,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX49_Ig_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,Ig,cell nucleus,3581,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
H1930004_CX45_A38_001_ATAC_3,cell nucleus,human,NCBI:txid9606,H19.30.004,brain section set,,58,male,,epigenomics,ATAC-seq,A38,cell nucleus,7286,University of California San Diego,Bing Ren,1U01MH121282-01,ecker_hu_sn_ATACseq,NeMO,,2022Q2,
