bil_uuid	name	description	organization_name	lab_name	project_funder_id	project_funder	data_path	submission_status	validation_status																								
89350ee864e915a9	2022Q2_rf1tasic_enhancer	37 mouse enhancer virus labeling two-photon serial tomography coronal image data sets	Allen Institute for Brain Science	Bosiljka Tasic	1RF1MH121274-01	NIH	/bil/lz/lydian/89350ee864e915a9	SUCCESS	SUCCESS																								
																																	
	contributorname	creator	contributortype	nametype	nameidentifier	nameidentifierscheme	affiliation	affiliationidentifier	affiliationidentifierscheme																								
	Allen Institute	Yes	ResearchGroup	Organizational			Allen Institute for Brain Science	https://ror.org/00dcv1019	ROR																								
	Bosiljka Tasic	No	ProjectLeader	Personal	https://orcid.org/0000-0002-6861-4506	ORCID	Allen Institute for Brain Science	https://ror.org/00dcv1019	ROR																								
																																	
	fundername	funding_reference_identifier	funding_reference_identifier_type	award_number	award_title																												
	National Institutes of Health	https://ror.org/01cwqze88	ROR	1RF1MH121274-01	Cell class- or type-specific viruses for brain-wide labeling and neural circuit examination																												
																																	
	relatedidentifier	relatedidentifiertype	pmcid	relationtype	citation																												
																																	
	microscopetype	microscopemanufacturerandmodel	objectivename	objectiveimmersion	objectivena	objectivemagnification	detectortype	detectormodel	illuminationtypes	illuminationwavelength	detectionwavelength	sampletemperature																					
	Two Photon	TissueVision TissueCyte 1000	Zeiss 20X Plan-Apochromat	Water	1	20X	PMT	Hamamatsu R3896		925nm	447-593nm	20																					
																																	
	bildirectory	title	socialmedia	subject	subjectscheme	rights	rightsuri	rightsidentifier	dataset_image	generalmodality	technique	other	abstract	methods	technicalinfo																		
	/bil/data/89/35/89350ee864e915a9/0539071844	622130				"Allen Institute Terms of Use, Creative Commons Attribution 4.0 International"	"https://alleninstitute.org/legal/terms-use/ , https://creativecommons.org/licenses/by/4.0/"	CC-BY-4.0	https://alleninstitute.org/media/filer_public_thumbnails/filer_public/2e/6e/2e6e35a2-a82e-4e1c-af3d-4e95e43d3baf/logo_bs_header.png__220x220_q75_subsampling-2.jpg	population imaging	enhancer virus labeling		This is a series of serial two-photon images of whole mouse brain to characterize cell populations for the purpose of evaluating the specificity of newly created enhancer elements																				
